Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Commercial_PV':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':1, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':2, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':3, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':4, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':5, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':6, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-Geothermal':7, 0.96858075
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':1, 1.88
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':2, 1.45528408633
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':3, 1.88
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':4, 1.66647732814
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':5, 1.45528408633
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':6, 1.88
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC':7, 1.88
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC_CCS':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC_CCS':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC_CCS':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC_CCS':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC_CCS':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC_CCS':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'N-NG_CC_CCS':7, 0.0
