load_zone	fuel	period_temp	fuel_cost
Fujian	Gas_CCS	2026	16.525130052
Fujian	Gas_CCS	2031	17.766965796
Fujian	Gas_CCS	2036	18.67264782
Fujian	ResidualFuelOil	2016	14.346
Fujian	ResidualFuelOil	2021	15.704
Fujian	ResidualFuelOil	2026	16.756
Fujian	ResidualFuelOil	2031	16.762
Fujian	ResidualFuelOil	2036	18.857248678
Fujian	ResidualFuelOil_CCS	2016	14.346
Fujian	ResidualFuelOil_CCS	2021	15.704
Fujian	ResidualFuelOil_CCS	2026	16.756
Fujian	ResidualFuelOil_CCS	2031	16.762
Fujian	ResidualFuelOil_CCS	2036	18.857248678
Fujian	Uranium	2016	2.198
Fujian	Uranium	2021	2.202
Fujian	Uranium	2026	2.202
Fujian	Uranium	2031	2.2
Fujian	Uranium	2036	2.591611722
Gansu	Bio_Solid	2016	2.028500431
Gansu	Bio_Solid	2021	2.028500431
Gansu	Bio_Solid	2026	2.028500431
Gansu	Bio_Solid	2031	2.028500431
Gansu	Bio_Solid	2036	2.028500431
Gansu	Bio_Solid_CCS	2016	2.028500431
Gansu	Bio_Solid_CCS	2021	2.028500431
Gansu	Bio_Solid_CCS	2026	2.028500431
Gansu	Bio_Solid_CCS	2031	2.028500431
Gansu	Bio_Solid_CCS	2036	2.028500431
Gansu	Coal	2016	3.5275871196
Gansu	Coal	2021	3.7053187818
Gansu	Coal	2026	3.89592955
Gansu	Coal	2031	4.0929798708
Gansu	Coal	2036	4.2853508358
Gansu	Coal_CCS	2016	3.5275871196
Gansu	Coal_CCS	2021	3.7053187818
Gansu	Coal_CCS	2026	3.89592955
Gansu	Coal_CCS	2031	4.0929798708
Gansu	Coal_CCS	2036	4.2853508358
Gansu	DistillateFuelOil	2016	18.804
Gansu	DistillateFuelOil	2021	20.612
Gansu	DistillateFuelOil	2026	21.892
Gansu	DistillateFuelOil	2031	22.568
Gansu	DistillateFuelOil	2036	24.73028897
Gansu	DistillateFuelOil_CCS	2016	18.804
Gansu	DistillateFuelOil_CCS	2021	20.612
Gansu	DistillateFuelOil_CCS	2026	21.892
Gansu	DistillateFuelOil_CCS	2031	22.568
Gansu	DistillateFuelOil_CCS	2036	24.73028897
Gansu	Gas	2016	13.148208292
Gansu	Gas	2021	14.831222524
Gansu	Gas	2026	16.525130052
Gansu	Gas	2031	17.766965796
Gansu	Gas	2036	18.67264782
Gansu	Gas_CCS	2016	13.148208292
Gansu	Gas_CCS	2021	14.831222524
Gansu	Gas_CCS	2026	16.525130052
Gansu	Gas_CCS	2031	17.766965796
Gansu	Gas_CCS	2036	18.67264782
Gansu	ResidualFuelOil	2016	14.346
Gansu	ResidualFuelOil	2021	15.704
Gansu	ResidualFuelOil	2026	16.756
Gansu	ResidualFuelOil	2031	16.762
Gansu	ResidualFuelOil	2036	18.857248678
Gansu	ResidualFuelOil_CCS	2016	14.346
Gansu	ResidualFuelOil_CCS	2021	15.704
Gansu	ResidualFuelOil_CCS	2026	16.756
Gansu	ResidualFuelOil_CCS	2031	16.762
Gansu	ResidualFuelOil_CCS	2036	18.857248678
Gansu	Uranium	2016	2.198
Gansu	Uranium	2021	2.202
Gansu	Uranium	2026	2.202
Gansu	Uranium	2031	2.2
Gansu	Uranium	2036	2.591611722
Guangdong	Bio_Solid	2016	2.028500431
Guangdong	Bio_Solid	2021	2.028500431
Guangdong	Bio_Solid	2026	2.028500431
Guangdong	Bio_Solid	2031	2.028500431
Guangdong	Bio_Solid	2036	2.028500431
Guangdong	Bio_Solid_CCS	2016	2.028500431
Guangdong	Bio_Solid_CCS	2021	2.028500431
Guangdong	Bio_Solid_CCS	2026	2.028500431
Guangdong	Bio_Solid_CCS	2031	2.028500431
Guangdong	Bio_Solid_CCS	2036	2.028500431
Guangdong	Coal	2016	6.0518918858
Guangdong	Coal	2021	6.3622783392
Guangdong	Coal	2026	6.6855438984
Guangdong	Coal	2031	7.0268402062
Guangdong	Coal	2036	7.3694066024
Guangdong	Coal_CCS	2016	6.0518918858
Guangdong	Coal_CCS	2021	6.3622783392
Guangdong	Coal_CCS	2026	6.6855438984
Guangdong	Coal_CCS	2031	7.0268402062
Guangdong	Coal_CCS	2036	7.3694066024
Guangdong	DistillateFuelOil	2016	18.804
Guangdong	DistillateFuelOil	2021	20.612
Guangdong	DistillateFuelOil	2026	21.892
Guangdong	DistillateFuelOil	2031	22.568
Guangdong	DistillateFuelOil	2036	24.73028897
Guangdong	DistillateFuelOil_CCS	2016	18.804
Guangdong	DistillateFuelOil_CCS	2021	20.612
Guangdong	DistillateFuelOil_CCS	2026	21.892
Guangdong	DistillateFuelOil_CCS	2031	22.568
Guangdong	DistillateFuelOil_CCS	2036	24.73028897
Guangdong	Gas	2016	13.148208292
Guangdong	Gas	2021	14.831222524
Guangdong	Gas	2026	16.525130052
Guangdong	Gas	2031	17.766965796
Guangdong	Gas	2036	18.67264782
Guangdong	Gas_CCS	2016	13.148208292
Guangdong	Gas_CCS	2021	14.831222524
Guangdong	Gas_CCS	2026	16.525130052
Guangdong	Gas_CCS	2031	17.766965796
Guangdong	Gas_CCS	2036	18.67264782
Guangdong	ResidualFuelOil	2016	14.346
Guangdong	ResidualFuelOil	2021	15.704
Guangdong	ResidualFuelOil	2026	16.756
Guangdong	ResidualFuelOil	2031	16.762
Guangdong	ResidualFuelOil	2036	18.857248678
Guangdong	ResidualFuelOil_CCS	2016	14.346
Guangdong	ResidualFuelOil_CCS	2021	15.704
Guangdong	ResidualFuelOil_CCS	2026	16.756
Guangdong	ResidualFuelOil_CCS	2031	16.762
Guangdong	ResidualFuelOil_CCS	2036	18.857248678
Guangdong	Uranium	2016	2.198
Guangdong	Uranium	2021	2.202
Guangdong	Uranium	2026	2.202
Guangdong	Uranium	2031	2.2
Guangdong	Uranium	2036	2.591611722
Guangxi	Bio_Solid	2016	2.028500431
Guangxi	Bio_Solid	2021	2.028500431
Guangxi	Bio_Solid	2026	2.028500431
Guangxi	Bio_Solid	2031	2.028500431
Guangxi	Bio_Solid	2036	2.028500431
Guangxi	Bio_Solid_CCS	2016	2.028500431
