GENERATION_PROJECT	gen_tech	gen_energy_source	gen_load_zone	gen_max_age	gen_is_variable	gen_is_baseload	gen_full_load_heat_rate	gen_variable_om	gen_connect_cost_per_mw	gen_dbid	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_capacity_limit_mw	gen_min_build_capacity	gen_is_cogen	gen_storage_efficiency	gen_store_to_release_ratio
131	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	131	0	0.02	65204.7829	0	FALSE	0	0
132	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	132	0	0.02	90766.6482	0	FALSE	0	0
133	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	133	0	0.02	31818.6158	0	FALSE	0	0
134	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	134	0	0.02	22905.9859	0	FALSE	0	0
135	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	135	0	0.02	35971.9628	0	FALSE	0	0
136	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	136	0	0.02	41402.8319	0	FALSE	0	0
137	Commercial_PV	Solar	Xinjiang	20	TRUE	FALSE	.	0	0	137	0	0.02	79763.2762	0	FALSE	0	0
138	Commercial_PV	Solar	Yunnan	20	TRUE	FALSE	.	0	0	138	0	0.02	67640.0293	0	FALSE	0	0
139	Commercial_PV	Solar	Yunnan	20	TRUE	FALSE	.	0	0	139	0	0.02	35434.835	0	FALSE	0	0
140	Commercial_PV	Solar	Yunnan	20	TRUE	FALSE	.	0	0	140	0	0.02	17182.4147	0	FALSE	0	0
141	Commercial_PV	Solar	Guizhou	20	TRUE	FALSE	.	0	0	141	0	0.02	2274.93177	0	FALSE	0	0
142	Commercial_PV	Solar	Yunnan	20	TRUE	FALSE	.	0	0	142	0	0.02	10838.092	0	FALSE	0	0
143	Commercial_PV	Solar	Yunnan	20	TRUE	FALSE	.	0	0	143	0	0.02	32020.4957	0	FALSE	0	0
144	Commercial_PV	Solar	Yunnan	20	TRUE	FALSE	.	0	0	144	0	0.02	11007.3881	0	FALSE	0	0
145	Commercial_PV	Solar	Yunnan	20	TRUE	FALSE	.	0	0	145	0	0.02	25361.6718	0	FALSE	0	0
146	Commercial_PV	Solar	Yunnan	20	TRUE	FALSE	.	0	0	146	0	0.02	6252.82281	0	FALSE	0	0
147	Commercial_PV	Solar	Zhejiang	20	TRUE	FALSE	.	0	0	147	0	0.02	180150.589	0	FALSE	0	0
148	Commercial_PV	Solar	Zhejiang	20	TRUE	FALSE	.	0	0	148	0	0.02	89555.2707	0	FALSE	0	0
149	Commercial_PV	Solar	Zhejiang	20	TRUE	FALSE	.	0	0	149	0	0.02	39732.3462	0	FALSE	0	0
150	Commercial_PV	Solar	Zhejiang	20	TRUE	FALSE	.	0	0	150	0	0.02	55327.2342	0	FALSE	0	0
151	Commercial_PV	Solar	Zhejiang	20	TRUE	FALSE	.	0	0	151	0	0.02	34519.9615	0	FALSE	0	0
152	Commercial_PV	Solar	Beijing	20	TRUE	FALSE	.	0	0	152	0	0.02	18079.1833	0	FALSE	0	0
153	Commercial_PV	Solar	Beijing	20	TRUE	FALSE	.	0	0	153	0	0.02	51514.3727	0	FALSE	0	0
154	Commercial_PV	Solar	Gansu	20	TRUE	FALSE	.	0	0	154	0	0.02	11271.7592	0	FALSE	0	0
155	Commercial_PV	Solar	Gansu	20	TRUE	FALSE	.	0	0	155	0	0.02	38577.2659	0	FALSE	0	0
156	Commercial_PV	Solar	Gansu	20	TRUE	FALSE	.	0	0	156	0	0.02	4872.3286	0	FALSE	0	0
