GENERATION_PROJECT	PERIOD	gen_tech	gen_load_zone	gen_energy_source	GenCapacity	GenCapitalCosts	GenFixedOMCosts
62	2036	Commercial_PV	Hunan	Solar	0	0	0
63	2016	Commercial_PV	Hunan	Solar	0	0	0
63	2021	Commercial_PV	Hunan	Solar	0	0	0
63	2026	Commercial_PV	Hunan	Solar	0	0	0
63	2031	Commercial_PV	Hunan	Solar	0	0	0
63	2036	Commercial_PV	Hunan	Solar	0	0	0
64	2016	Commercial_PV	Hunan	Solar	0	0	0
64	2021	Commercial_PV	Hunan	Solar	0	0	0
64	2026	Commercial_PV	Hunan	Solar	0	0	0
64	2031	Commercial_PV	Hunan	Solar	0	0	0
64	2036	Commercial_PV	Hunan	Solar	0	0	0
65	2016	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
65	2021	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
65	2026	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
65	2031	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
65	2036	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
66	2016	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
66	2021	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
66	2026	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
66	2031	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
66	2036	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
67	2016	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
67	2021	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
67	2026	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
67	2031	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
67	2036	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
68	2016	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
68	2021	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
68	2026	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
68	2031	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
68	2036	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
69	2016	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
69	2021	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
69	2026	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
69	2031	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
69	2036	Commercial_PV	West_Inner_Mongolia	Solar	0	0	0
70	2016	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
70	2021	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
70	2026	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
70	2031	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
70	2036	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
71	2016	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
71	2021	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
71	2026	Commercial_PV	East_Inner_Mongolia	Solar	0	0	0
