TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	MaximumDispatchTxSlack
Yunnan	Guangdong	116917	0.0
Yunnan	Guangdong	116921	0.0
Yunnan	Guangdong	116925	0.0
Yunnan	Guangdong	116977	0.0
Yunnan	Guangdong	116981	0.0
Yunnan	Guangdong	116985	0.0
Yunnan	Guangdong	116989	0.0
Yunnan	Guangdong	116993	0.0
Yunnan	Guangdong	116997	0.0
Yunnan	Guangdong	161497	0.0
Yunnan	Guangdong	161501	0.0
Yunnan	Guangdong	161505	0.0
Yunnan	Guangdong	161509	0.0
Yunnan	Guangdong	161513	0.0
Yunnan	Guangdong	161517	0.0
Yunnan	Guangdong	161641	0.0
Yunnan	Guangdong	161645	0.0
Yunnan	Guangdong	161649	0.0
Yunnan	Guangdong	161653	0.0
Yunnan	Guangdong	161657	0.0
Yunnan	Guangdong	161661	0.0
Yunnan	Guangdong	206162	0.0
Yunnan	Guangdong	206166	0.0
Yunnan	Guangdong	206170	0.0
Yunnan	Guangdong	206174	0.0
Yunnan	Guangdong	206178	0.0
Yunnan	Guangdong	206182	0.0
Yunnan	Guangdong	206450	0.0
Yunnan	Guangdong	206454	0.0
Yunnan	Guangdong	206458	0.0
Yunnan	Guangdong	206462	0.0
Yunnan	Guangdong	206466	0.0
Yunnan	Guangdong	206470	0.0
Yunnan	Guangdong	251282	0.0
Yunnan	Guangdong	251286	0.0
Yunnan	Guangdong	251290	0.0
Yunnan	Guangdong	251294	0.0
Yunnan	Guangdong	251298	0.0
Yunnan	Guangdong	251302	0.0
Yunnan	Guangdong	251498	0.0
Yunnan	Guangdong	251502	0.0
