TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	DispatchTx
Sichuan	Hunan	251302	0.0
Sichuan	Hunan	251498	0.0
Sichuan	Hunan	251502	0.0
Sichuan	Hunan	251506	0.0
Sichuan	Hunan	251510	0.0
Sichuan	Hunan	251514	0.0
Sichuan	Hunan	251518	0.0
Ningxia	Shandong	70873	0.0
Ningxia	Shandong	70877	0.0
Ningxia	Shandong	70881	0.0
Ningxia	Shandong	70885	2936.8897481644917
Ningxia	Shandong	70889	3509.74778066449
Ningxia	Shandong	70893	347.88903302039216
Ningxia	Shandong	71065	0.0
Ningxia	Shandong	71069	0.0
Ningxia	Shandong	71073	0.0
Ningxia	Shandong	71077	2936.8897481644894
Ningxia	Shandong	71081	3509.7477806644897
Ningxia	Shandong	71085	347.88903302034214
Ningxia	Shandong	116905	0.0
Ningxia	Shandong	116909	0.0
Ningxia	Shandong	116913	0.0
Ningxia	Shandong	116917	3652.5369574341757
Ningxia	Shandong	116921	2150.6236519230292
Ningxia	Shandong	116925	2322.8426242230303
Ningxia	Shandong	116977	0.0
Ningxia	Shandong	116981	0.0
Ningxia	Shandong	116985	0.0
Ningxia	Shandong	116989	3088.235314011031
Ningxia	Shandong	116993	2150.6236519230292
Ningxia	Shandong	116997	2322.8426242230285
Ningxia	Shandong	161497	2854.7351520460593
Ningxia	Shandong	161501	3132.4235775740613
Ningxia	Shandong	161505	293.1711369746323
Ningxia	Shandong	161509	4000.0
Ningxia	Shandong	161513	4000.0
Ningxia	Shandong	161517	4000.0
Ningxia	Shandong	161641	1965.541920715049
Ningxia	Shandong	161645	3132.4235775740594
Ningxia	Shandong	161649	4000.0
Ningxia	Shandong	161653	4000.0
Ningxia	Shandong	161657	4000.0
Ningxia	Shandong	161661	4000.0
Ningxia	Shandong	206162	0.0
Ningxia	Shandong	206166	0.0
Ningxia	Shandong	206170	0.0
Ningxia	Shandong	206174	0.0
Ningxia	Shandong	206178	0.0
Ningxia	Shandong	206182	0.0
